1M261,6564985.465,537935.055,46.934,VPOST
1M262,6564988.616,537934.476,46.891,VPOST
1M263,6565005.115,537931.728,46.812,VPOST
1M264,6565006.357,537931.574,46.847,VPOST
1M265,6565011.412,537930.725,46.806,VPOST
1M266,6565010.520,537936.248,46.921,KRAAV
1M267,6565011.231,537940.803,46.687,KRAAV
1M268,6565013.162,537938.944,45.689,KRAAV
1M269,6565009.222,537937.666,46.703,R
1M270,6565010.255,537937.565,46.725,R
1M271,6565009.752,537940.428,46.649,R
1M272,6565010.657,537939.960,46.616,R
1M273,6565025.994,537933.857,46.883,KRAAV
1M274,6565027.459,537934.288,46.870,KRAAV
1M275,6565028.714,537936.527,46.845,KRAAV
1M276,6565027.515,537938.202,46.814,KRAAV
1M277,6565025.955,537938.744,46.977,KRAAV
1M278,6565023.671,537937.072,45.724,KRAAV
1 (7),6565029.387,537933.986,48.480,
1M279,6565030.386,537937.487,46.952,KILL
1M280,6565029.399,537936.055,46.926,KILL
1M281,6565028.118,537933.678,46.943,KILL
1M282,6565037.581,537928.089,46.966,KILL
1M283,6565037.863,537927.579,47.162,EK
1M284,6565037.650,537927.267,46.987,BP
1M285,6565041.276,537926.773,46.968,KILL
1M286,6565042.361,537932.802,46.860,KILL
1M287,6565042.688,537934.634,46.790,KILL
1M288,6565043.235,537931.573,46.968,LP
1M289,6565043.894,537928.798,46.699,R
1M290,6565046.733,537927.933,46.719,R
1M291,6565044.349,537930.225,46.685,R
1M292,6565043.224,537931.372,46.936,LP
1M293,6565041.946,537925.706,46.871,AP
1M294,6565037.303,537926.671,47.021,VPOST
1M295,6565033.359,537927.218,46.974,VPOST
1M296,6565031.947,537927.434,46.936,VPOST
1M297,6565023.961,537928.752,46.925,AP
1M298,6565014.717,537930.276,46.847,AP
1M299,6565035.927,537917.044,49.306,H
1M300,6565030.670,537917.966,48.960,H-
1M301,6565029.969,537922.506,48.823,H
1M302,6565023.738,537923.532,48.835,H
1M303,6565008.292,537913.946,49.350,H
1M304,6565008.750,537918.015,49.839,H-
1M305,6565005.949,537921.242,49.927,H-
